word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
balloon,bә'lu:n,n. large tough nonrigid bag filled with gas or heated air\nn. small thin inflatable rubber bag with narrow neck\nv. ride in a hot-air balloon\nv. become inflated,"n. 气球\nvt. 使成气球状\nvi. 膨胀如气球, 激增",,2,,zk gk cet4 ky toefl ielts gre,5623,4774,s:balloons/p:ballooned/i:ballooning/d:ballooned/3:balloons,,
ballot,'bælәt,n. a document listing the alternatives that is used in voting\nv. vote by ballot,"n. 投票, 投票用纸, 抽签\nvi. 投票, 抽签\nvt. 投票选出, 拉选票",,3,,cet6 ky toefl ielts gre,5454,3706,s:ballots/i:balloting/p:balloted/3:ballots/d:balloted,,
ballpoint,,n. a pen that has a small metal ball as the point of transfer of ink to paper,n. 圆珠笔,,,,gk,26210,24069,s:ballpoints,,
bamboo,bæm'bu:,n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles\nn. woody tropical grass having hollow woody stems; mature canes used for construction and furniture,n. 竹子\n[医] 竹类,,1,,zk gk cet6 ielts,12165,8248,s:bamboos,,
ban,bæn,n. 100 bani equal 1 leu in Moldova\nn. 100 bani equal 1 leu in Romania\nn. an official prohibition or edict against something\nv. forbid the public distribution of ( a movie or a newspaper),"n. 禁令\nvt. 禁止, 取缔",,4,1,gk cet4 cet6 ky toefl ielts gre,2824,3273,d:banned/i:banning/p:banned/s:bans/3:bans,,
banana,bә'nɑ:nә,n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits\nn. elongated crescent-shaped yellow fruit with soft sweet flesh,n. 香蕉,,2,,zk gk,5663,4677,s:bananas,,
band,bænd,n. instrumentalists not including string players\nn. a stripe or stripes of contrasting color\nn. an adornment consisting of a strip of a contrasting color or material\nn. a range of frequencies between two limits,"n. 带子, 队, 乐队\nv. 联合, 结合\n[计] 频带; 波段; 区",,4,1,gk cet4 ky toefl ielts gre,1145,1277,s:bands/3:bands/d:banded/i:banding/p:banded,,
bandage,'bændidʒ,n. a piece of soft material that covers and protects an injured part of the body\nv. dress by covering or binding,n. 绷带\n[化] 帘布筒; 实心轮胎; 紧带; 绷带,,1,1,gk cet6 ky ielts gre,10433,9428,s:bandages/d:bandaged/p:bandaged/i:bandaging/3:bandages,,
bandit,'bændit,n. an armed thief who is (usually) a member of a band,n. 强盗,,1,,cet6 toefl,15193,11776,s:bandits/3:bandits,,
bang,bæŋ,n. a sudden very loud noise\nn. a border of hair that is cut short and hangs across the forehead\nn. the swift release of a store of affective force\nv. to produce a sharp often metallic explosive or percussive sound,"n. 重击, 突然巨响, 刘海\nv. 发巨响, 重击\nadv. 砰然地, 突然巨响地, 直接地\n[计] 撞击符",,2,,gk cet4 cet6 ky toefl ielts,4572,5069,i:banging/p:banged/s:bangs/d:banged/3:bangs,,
